Date,TotalCases,TotalRecoveries,TotalDeaths,TotalTests,TotalTestsNegative
2020-03-02,0,0,0,0,0
2020-03-03,1,0,0,0,0
2020-03-04,1,0,0,0,0
2020-03-05,1,0,0,0,0
2020-03-06,2,0,0,0,0
2020-03-07,9,0,0,0,0
2020-03-08,12,0,0,0,0
2020-03-09,17,0,1,0,0
2020-03-10,19,0,1,0,0
2020-03-11,21,0,1,0,0
2020-03-12,31,0,1,0,0
2020-03-13,34,0,2,0,0
2020-03-14,45,0,2,0,0
2020-03-15,56,0,2,0,0
2020-03-16,65,0,2,529,464
2020-03-17,78,0,2,574,496
2020-03-18,97,18,3,659,562
2020-03-19,128,23,3,833,705
2020-03-20,158,31,3,1030,872
2020-03-21,225,31,4,1253,1028
2020-03-22,266,51,4,1537,1271
2020-03-23,301,52,4,1754,1453
2020-03-24,385,63,6,1838,1453
2020-03-25,502,72,8,2448,1946
2020-03-26,589,75,12,2847,2258
2020-03-27,690,80,17,3507,2817
2020-03-28,745,91,19,3960,3215
2020-03-29,820,228,20,4400,3580
2020-03-30,966,240,24,5031,4065
2020-03-31,1054,248,27,5651,4597
2020-04-01,1133,256,32,6277,5144
2020-04-02,1265,266,36,7385,6120
2020-04-03,1353,279,42,8488,7135
2020-04-04,1451,280,43,8945,7494
2020-04-05,1554,325,46,9679,8125
2020-04-06,1628,338,53,10335,8707
2020-04-07,1715,358,60,11735,10020
2020-04-08,1795,365,65,13180,11385
2020-04-09,1894,375,79,,
2020-04-10,1975,440,82,15559,13584
2020-04-11,2142,468,89,17158,15016
2020-04-12,2208,515,95,18147,15939
2020-04-13,2277,559,98,19522,17245
2020-04-14,2443,596,105,20858,18415
2020-04-15,2571,631,112,22719,20148
2020-04-16,2669,666,122,24471,21802
2020-04-17,2758,685,129,26049,23291
2020-04-18,2839,709,132,27595,24756
2020-04-19,2941,737,134,29063,26122
2020-04-20,3031,840,142,30763,27732
2020-04-21,3144,872,151,32973,29829
2020-04-22,3288,919,159,35133,31845
2020-04-23,3435,976,165,37309,33874
2020-04-24,3607,1030,176,39674,36067
