Date,TotalCases,NewCases,NewCases7Day,TotalDeaths,NewDeaths,DayTests,TotalTests,DayTestsNegative,TotalTestsNegative,TotalRecovered,PBANewCases,CABANewCases,PBANewCases7Day,CABANewCases7Day,PBATotalCases,CABATotalCases,ICUBeds,CABAICUBeds,ICUBedsRate,ICUBedsAMBARate
2020-03-03,1,1,0,0,0,0,0,0,0,0,,1,,,0,1,,,,
2020-03-04,1,0,0,0,0,0,0,0,0,0,,,,,0,1,,,,
2020-03-05,1,0,0,0,0,0,0,0,0,0,1,,,,1,1,,,,
2020-03-06,2,2,0,0,0,0,0,0,0,0,,,,,1,1,,,,
2020-03-07,9,6,0,0,0,0,0,0,0,0,,,,,1,1,,,,
2020-03-08,12,3,0,0,0,0,0,0,0,0,8,,,,9,1,,,,
2020-03-09,17,5,2,1,1,0,0,0,0,0,,1,1,0,9,2,,,,
2020-03-10,19,2,3,1,0,0,0,0,0,0,1,1,1,0,10,3,,,,
2020-03-11,21,2,3,1,0,0,0,0,0,0,1,1,2,0,11,4,,,,
2020-03-12,31,10,4,1,0,0,0,0,0,0,,10,1,2,11,14,,,,
2020-03-13,34,3,4,2,1,0,0,0,0,0,1,2,2,2,12,16,,,,
2020-03-14,45,11,5,2,0,0,0,0,0,0,,11,2,4,12,27,,,,
2020-03-15,56,11,6,2,0,0,0,0,0,0,1,6,1,5,13,33,,,,
2020-03-16,65,9,7,2,0,529,529,464,464,0,1,5,1,5,14,38,,,,
2020-03-17,78,13,8,2,0,45,574,32,496,0,1,4,1,6,15,42,,,,
2020-03-18,97,19,11,3,1,85,659,66,562,18,6,10,1,7,21,52,,,,
2020-03-19,128,31,14,3,0,174,833,143,705,23,14,8,3,7,35,60,,,,
2020-03-20,158,30,18,3,0,197,1030,167,872,31,9,9,5,8,44,69,,,,
2020-03-21,225,67,26,4,1,223,1253,156,1028,31,14,29,7,10,58,98,,,,
2020-03-22,266,40,30,4,0,284,1537,243,1271,51,8,11,8,11,66,109,,,,
2020-03-23,301,36,34,4,0,217,1754,182,1453,52,5,11,8,12,71,120,,,,
2020-03-24,385,84,44,6,2,84,1838,0,1453,63,29,29,12,15,100,149,,,,
2020-03-25,502,117,58,8,2,610,2448,493,1946,72,30,21,16,17,130,170,22,,,
2020-03-26,589,87,66,12,4,399,2847,312,2258,75,27,30,17,20,157,200,25,,,
2020-03-27,690,101,76,17,5,660,3507,559,2817,80,36,27,21,23,193,227,33,,,
2020-03-28,745,55,74,19,2,453,3960,398,3215,91,8,18,20,21,201,245,44,,,
2020-03-29,820,75,79,20,1,440,4400,365,3580,228,16,13,22,21,217,258,53,,,
2020-03-30,966,146,95,24,4,631,5031,485,4065,240,36,34,26,25,253,292,55,,,
2020-03-31,1054,88,96,27,3,620,5651,532,4597,248,17,19,24,23,270,311,55,,,
2020-04-01,1133,79,90,32,5,626,6277,547,5144,256,10,10,21,22,280,321,72,,,
2020-04-02,1265,132,97,36,4,1108,7385,976,6120,266,36,24,23,21,316,345,82,,,
2020-04-03,1353,88,95,42,6,1103,8488,1015,7135,279,22,28,21,21,338,373,86,,,
2020-04-04,1451,98,101,43,1,457,8945,359,7494,280,26,34,23,23,364,407,87,,,
2020-04-05,1554,103,105,46,3,734,9679,631,8125,325,33,32,26,26,397,439,94,,,
2020-04-06,1628,74,95,53,7,656,10335,582,8707,338,12,17,22,23,409,456,96,,,
2020-04-07,1715,87,94,60,7,1400,11735,1313,10020,358,34,24,25,24,443,480,98,,,
2020-04-08,1795,80,95,65,5,1445,13180,1365,11385,365,17,18,26,25,460,498,98,,,
2020-04-09,1894,99,90,79,14,1190,14370,1100,12485,375,28,23,25,25,488,521,,,,
2020-04-10,1975,81,89,82,3,1189,15559,1099,13584,440,19,11,24,23,507,532,115,,,
2020-04-11,2142,167,99,89,7,1599,17158,1432,15016,468,37,46,26,24,544,578,83,,,
2020-04-12,2208,66,93,95,6,989,18147,923,15939,515,28,8,25,21,572,586,113,,,
2020-04-13,2277,69,93,98,3,1375,19522,1306,17245,559,29,10,27,20,601,596,116,,,
2020-04-14,2443,166,104,105,7,1336,20858,1170,18415,596,66,22,32,20,667,618,117,,,
2020-04-15,2571,128,111,112,7,1861,22719,1733,20148,631,62,30,38,21,729,648,121,,,
2020-04-16,2669,98,111,122,10,1752,24471,1654,21802,666,31,15,39,20,760,663,126,,,
2020-04-17,2758,89,112,129,7,1578,26049,1489,23291,685,34,14,41,21,794,677,127,,,
2020-04-18,2839,81,100,132,3,1546,27595,1465,24756,709,31,14,40,16,825,691,123,,,
2020-04-19,2941,102,105,134,2,1468,29063,1366,26122,737,48,15,43,17,873,706,126,,,
2020-04-20,3031,90,108,142,8,1700,30763,1610,27732,840,42,22,45,19,915,728,129,,,
2020-04-21,3144,113,100,151,9,2210,32973,2097,29829,872,60,33,44,20,975,761,131,,,
2020-04-22,3288,144,102,159,8,2160,35133,2016,31845,919,61,39,44,22,1036,800,136,,,
2020-04-23,3435,147,109,165,6,2176,37309,2029,33874,976,84,37,51,25,1120,837,141,,,
2020-04-24,3607,172,121,176,11,2365,39674,2193,36067,1030,61,79,55,34,1181,916,144,,,
2020-04-25,3780,173,134,185,9,1760,41434,1587,37654,1107,94,55,64,40,1275,971,139,,,
2020-04-26,3892,112,136,192,7,1878,43312,1766,39420,1140,56,36,65,43,1331,1007,151,,,
2020-04-27,4003,111,139,197,5,1650,44962,1539,40959,1162,50,32,67,44,1381,1039,155,,,
2020-04-28,4127,124,140,207,10,1875,46837,1751,42710,1192,48,50,65,47,1429,1089,154,,,
2020-04-29,4285,158,142,214,7,2276,49113,2118,44828,1256,103,34,71,46,1532,1123,157,,,
2020-04-30,4427,142,142,218,4,2143,51256,2001,46829,1292,66,45,68,47,1598,1168,159,,,
2020-05-01,4531,104,132,225,7,1866,53122,1762,48591,1320,34,29,64,40,1632,1197,164,,,
2020-05-02,4679,148,128,237,12,1655,54777,1507,50098,1354,45,58,57,41,1677,1255,161,,,
2020-05-03,4782,103,127,246,9,1595,56372,1492,51590,1442,38,49,55,42,1715,1304,146,,,
2020-05-04,4886,104,126,260,14,1717,58089,1613,53203,1472,38,43,53,44,1753,1347,148,,,
2020-05-05,5020,134,128,264,4,2158,60247,2024,55227,1524,58,57,55,45,1811,1404,143,,,
2020-05-06,5208,188,132,273,9,2137,62384,1949,57176,1601,63,102,49,55,1874,1506,151,,,
2020-05-07,5371,163,135,282,9,2067,64451,1904,59080,1659,50,77,47,59,1924,1583,155,,,
2020-05-08,5611,240,154,293,11,2185,66636,1945,61025,1728,77,130,53,74,2001,1713,157,,,
2020-05-09,5776,165,157,300,7,1900,68536,1735,62760,1757,60,83,55,77,2061,1796,160,,,
2020-05-10,6034,258,179,305,5,1602,70138,1344,64104,1837,51,165,57,94,2112,1961,164,,,
2020-05-11,6278,244,199,314,9,2116,72254,1872,65976,1862,44,138,58,107,2156,2099,170,,,
2020-05-12,6563,285,220,319,5,2546,74800,2261,68237,2266,80,188,61,126,2236,2287,147,,,
2020-05-13,6878,315,239,329,10,2576,77376,2260,70497,2385,96,178,65,137,2332,2465,147,,,
2020-05-14,7133,255,252,353,24,2730,80106,2475,72972,2497,79,154,70,148,2411,2619,149,,,
2020-05-15,7478,345,267,356,3,3020,83126,2675,75647,2534,86,214,71,160,2497,2833,151,,,
2020-05-16,7805,327,290,363,7,2261,85387,1935,77582,2569,97,193,76,176,2594,3026,154,,,
2020-05-17,8068,263,291,373,10,2143,87530,1880,79462,2625,74,147,79,173,2668,3173,159,,,
2020-05-18,8371,303,299,382,9,2307,89837,2004,81466,2872,93,169,86,178,2761,3342,156,,,
2020-05-19,8809,438,321,393,11,3421,93258,2983,84449,2933,157,224,97,183,2918,3566,161,,,
2020-05-20,9283,474,344,403,10,3472,96730,2998,87447,3032,178,257,109,194,3096,3823,171,,,
2020-05-21,9931,647,400,416,13,3868,100598,3220,90667,3062,213,379,128,226,3309,4202,172,,,
2020-05-22,9930,718,453,433,17,3579,104177,2861,93528,3530,266,404,154,253,3575,4606,173,,,
2020-05-23,10648,704,507,445,12,3035,107212,2331,95859,3732,289,400,181,283,3864,5006,181,,,
2020-05-24,11352,723,572,452,7,3216,110428,2493,98352,3999,196,494,199,332,4060,5500,181,,,
2020-05-25,12075,552,608,467,15,2839,113267,2287,100639,4167,159,377,208,362,4219,5877,203,,,
2020-05-26,12627,600,631,490,23,3134,116401,2534,103173,4349,236,328,220,377,4455,6205,250,,,
2020-05-27,13227,706,664,500,10,3988,120389,3283,106456,4617,315,361,239,392,4770,6566,254,,,
2020-05-28,14702,769,682,508,8,4445,124834,3676,110132,4788,299,425,251,398,5069,6991,259,,,
2020-05-29,15419,717,682,520,12,3899,128733,3182,113314,5100,273,398,252,398,5342,7389,244,,,
2020-05-30,16214,795,695,528,8,3696,132429,2901,116215,5336,296,459,253,406,5638,7848,256,,,
2020-05-31,16851,637,682,539,11,3238,135667,2601,118816,5521,254,358,262,387,5892,8206,272,,,
2020-06-01,17415,564,684,556,17,3159,138826,2595,121411,5709,252,274,275,372,6144,8480,271,,,
2020-06-02,18319,904,727,569,13,4185,143011,3281,124692,5896,488,371,311,378,6632,8851,288,,,
2020-06-03,19268,949,762,583,14,4288,147299,3339,128031,5993,442,467,329,393,7074,9318,293,,,
2020-06-04,20197,929,785,608,25,4506,151805,3577,131608,6088,423,437,347,395,7497,9755,248,,,
2020-06-05,21037,840,803,632,24,3874,155679,3034,134642,6180,371,422,361,398,7868,10177,249,,,
2020-06-06,22020,983,829,648,16,4181,159860,3198,137840,6909,457,475,384,401,8325,10652,247,,,
2020-06-07,22794,774,849,664,16,3336,163196,2562,140402,7305,375,359,401,401,8700,11011,253,,,
2020-06-08,23620,826,886,693,29,3906,167102,3080,143482,7568,345,420,414,422,9045,11431,265,,,
2020-06-09,24761,1141,920,717,24,4837,171939,3696,147178,7991,545,535,423,445,9590,11966,263,,,
2020-06-10,25987,1226,960,735,18,4803,176742,3577,150755,8332,622,522,448,453,10212,12488,325,,,
2020-06-11,27373,1386,1025,765,30,5356,182098,3970,154725,8743,756,538,496,467,10968,13026,295,,,
2020-06-12,28764,1391,1104,785,20,5357,187455,3966,158691,9083,744,565,549,488,11712,13591,280,,,
2020-06-13,30295,1531,1182,815,30,5186,192641,3655,162346,9564,849,558,605,500,12561,14149,293,,,
2020-06-14,31577,1282,1255,833,18,4547,197188,3265,165611,9891,635,563,642,529,13196,14712,,,,
2020-06-15,32785,1208,1309,854,21,4193,201381,2985,168596,10174,552,584,672,552,13748,15296,324,,,
2020-06-16,34159,1374,1343,878,24,4633,206014,3259,171855,10512,797,485,708,545,14545,15781,345,,,
2020-06-17,35552,1393,1366,913,35,5092,211106,3699,175554,10721,799,541,733,548,15344,16322,353,,,
2020-06-18,37510,1958,1448,948,35,6851,217957,4893,180447,11977,1106,704,783,571,16450,17026,364,,,
2020-06-19,39570,2060,1544,979,31,6915,224872,4855,185302,12206,1118,804,837,606,17568,17830,364,,,
2020-06-20,41204,1634,1558,992,13,5184,230056,3550,188852,12728,1013,541,860,603,18581,18371,381,,,
2020-06-21,42785,1581,1601,1011,19,5273,235329,3692,192544,13153,1581,720,995,626,20162,19091,397,,,
2020-06-22,44931,2146,1735,1043,32,6441,241770,4295,196839,13576,1037,1007,1064,686,21199,20098,414,,,
2020-06-23,47216,2285,1865,1078,35,7826,249596,5541,202380,13816,1334,769,1141,727,22533,20867,433,,,
2020-06-24,49851,2635,2043,1116,38,7654,257250,5019,207399,14788,1463,1049,1236,799,23996,21916,457,,45,52
2020-06-25,52457,2606,2135,1150,34,7530,264780,4924,212323,18416,1482,922,1290,830,25478,22838,472,,48.3,54.1
2020-06-26,55343,2886,2253,1184,23,8329,273109,5443,217766,19143,1692,971,1372,854,27170,23809,507,,48.9,53.7
2020-06-27,57744,2401,2363,1207,25,6964,280073,4563,222329,20134,1423,868,1430,901,28593,24677,523,,49.5,54.2
2020-06-28,59933,2189,2450,1232,48,5998,286071,3809,226138,21138,1225,851,1379,920,29818,25528,535,,49.8,55.1
2020-06-29,62268,2335,2477,1280,27,7285,293356,4950,231088,22028,1279,961,1414,913,31097,26489,555,,50.6,55.9
2020-06-30,64530,2262,2473,1307,44,6791,300147,4529,235617,23040,1374,753,1420,911,32471,27242,576,,50.5,55.5
2020-07-01,67197,2667,2478,1351,22,7660,307807,4993,240610,24186,1671,846,1449,882,34142,28088,594,,50.6,55.9
2020-07-02,69941,2744,2498,1385,34,7249,315056,4505,245115,25224,1733,840,1485,870,35875,28928,620,,50.1,55.7
2020-07-03,72786,2845,2492,1437,52,7524,322580,4679,249794,25930,1849,835,1508,851,37724,29763,637,,51,56.3
2020-07-04,75376,2590,2519,1481,44,7294,329874,4704,254498,27597,1517,899,1521,855,39241,30662,658,,51.5,57.7
2020-07-05,77815,2439,2555,1507,26,5966,335840,3527,258025,28531,1564,767,1570,843,40805,31429,676,,51.4,57.7
2020-07-06,80447,2632,2597,1582,75,6974,342814,4342,262367,30095,1476,995,1598,848,42281,32424,688,,51.6,58.8
2020-07-07,83426,2979,2699,1643,61,7550,350364,4571,266938,36502,1751,1025,1652,887,44032,33449,,,52,60.3
2020-07-08,87030,3604,2833,1694,51,9015,359379,5411,272349,38313,2222,1116,1730,925,46254,34565,,,52.4,59.7
2020-07-09,90693,3663,2965,1720,26,9125,368504,5462,277811,38984,2372,1058,1822,956,48626,35623,,,52.4,58.3
2020-07-10,94060,3367,3039,1774,54,8577,377081,5210,283021,41408,2118,1049,1860,987,50744,36672,686,,51.7,58.3
2020-07-11,97509,3449,3162,1810,36,8593,385674,5144,288165,42694,2113,1051,1945,1009,52857,37723,,,51.2,58.2
