personas,15625084
varones,7604581
mujeres,8020503
fecha,fallecidos,terapia,casos_dx,graves,diagnosticos,internados,casos_fis,casos_fis_ajustada,casos_fa
2020-01-01,0,0,0,0,1,0,0,0,0
2020-01-02,0,0,0,0,0,0,1,1,0
2020-01-03,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,1,1,0
2020-01-08,0,0,0,0,0,0,1,1,0
2020-01-09,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,1,1,0
2020-01-27,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,1,1,0
2020-01-29,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,1,1,0
2020-01-31,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,1,1,0
2020-02-06,0,0,0,0,0,0,1,1,0
2020-02-07,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,2,2,0
2020-02-09,0,0,0,0,0,0,1,1,0
2020-02-10,0,0,0,0,0,0,2,2,0
2020-02-11,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,1,1,0
2020-02-14,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,1,1,0
2020-02-18,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,1,0,0,0,0
2020-02-21,0,0,0,0,0,0,1,1,0
2020-02-22,0,0,0,0,0,0,2,2,0
2020-02-23,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,3,0,2,2,0
2020-02-28,0,0,0,0,4,0,1,1,0
2020-02-29,0,0,0,0,0,0,1,1,0
2020-03-01,0,0,0,0,0,0,1,1,0
2020-03-02,0,0,0,0,3,0,4,4,0
2020-03-03,0,0,0,0,3,1,4,4,0
2020-03-04,0,0,0,0,2,0,0,0,1
2020-03-05,0,0,0,0,1,1,3,3,0
2020-03-06,0,0,1,0,3,0,6,6,0
2020-03-07,0,0,0,0,2,4,1,1,1
2020-03-08,0,1,0,1,5,1,7,7,0
2020-03-09,0,1,1,1,4,4,6,6,3
2020-03-10,0,0,1,0,5,0,11,11,2
2020-03-11,0,0,1,0,9,4,3,3,3
2020-03-12,0,1,5,1,11,2,16,16,6
2020-03-13,0,1,1,1,21,6,11,11,8
2020-03-14,0,1,2,1,23,5,18,18,3
2020-03-15,0,0,0,0,18,9,15,15,7
2020-03-16,0,1,3,1,29,3,24,24,10
2020-03-17,0,1,3,1,35,12,26,28,10
2020-03-18,0,3,10,3,54,16,23,28,11
2020-03-19,0,1,11,1,28,7,33,34,9
2020-03-20,0,1,8,1,49,17,34,34,19
2020-03-21,1,2,14,2,72,15,35,33,23
2020-03-22,0,4,10,4,40,19,29,24,28
2020-03-23,0,1,8,1,53,22,36,36,26
2020-03-24,2,3,31,3,84,11,25,25,27
2020-03-25,0,2,42,2,161,22,26,26,33
2020-03-26,3,1,35,1,114,15,29,31,27
2020-03-27,0,3,25,3,89,24,30,30,27
2020-03-28,1,3,12,3,68,20,19,19,23
2020-03-29,1,4,20,4,133,19,17,20,24
2020-03-30,1,9,22,9,145,28,34,37,31
2020-03-31,0,6,21,6,124,19,27,28,20
2020-04-01,2,2,29,2,207,11,34,35,21
2020-04-02,3,5,31,5,307,32,38,35,37
2020-04-03,3,2,32,3,469,21,33,29,35
2020-04-04,1,4,29,5,387,17,26,27,26
2020-04-05,5,6,14,8,291,12,21,29,10
2020-04-06,3,4,31,5,335,18,30,33,35
2020-04-07,4,2,16,4,447,11,28,30,28
2020-04-08,5,3,23,5,432,21,47,53,32
2020-04-09,2,2,20,2,427,12,53,46,28
2020-04-10,3,2,44,2,449,18,43,46,38
2020-04-11,2,5,18,6,342,23,48,58,40
2020-04-12,2,1,35,2,307,21,52,49,45
2020-04-13,2,3,23,4,430,24,49,55,66
2020-04-14,1,2,63,3,574,23,48,47,40
2020-04-15,5,2,50,6,643,25,64,57,55
2020-04-16,4,1,41,2,671,21,57,62,48
2020-04-17,3,4,35,6,717,34,65,80,63
2020-04-18,4,2,59,4,618,24,74,77,48
2020-04-19,3,4,26,5,454,28,60,68,42
2020-04-20,2,3,48,4,785,38,99,102,84
2020-04-21,4,1,62,4,1027,21,79,67,113
2020-04-22,6,3,59,6,873,29,68,69,73
2020-04-23,4,4,69,7,867,35,65,72,110
2020-04-24,6,5,78,8,982,21,75,74,100
2020-04-25,6,3,81,8,902,24,82,83,49
2020-04-26,5,2,30,5,506,20,77,100,45
2020-04-27,7,3,67,8,772,21,72,53,92
2020-04-28,4,2,62,4,1057,26,63,58,92
2020-04-29,4,2,89,6,1000,25,58,50,61
2020-04-30,6,1,47,5,892,21,85,65,100
2020-05-01,7,0,48,4,817,25,66,77,38
2020-05-02,1,8,39,9,609,16,59,72,56
2020-05-03,7,1,31,8,389,12,62,79,30
2020-05-04,2,4,46,6,867,23,85,98,70
2020-05-05,3,5,77,7,975,24,94,93,75
2020-05-06,7,0,59,5,813,24,80,69,92
2020-05-07,7,2,60,7,823,25,82,81,96
2020-05-08,3,2,76,3,851,31,93,87,85
2020-05-09,5,3,57,7,776,24,89,93,48
2020-05-10,4,3,39,6,426,19,124,135,46
2020-05-11,5,5,57,9,850,43,127,137,120
2020-05-12,2,5,89,7,1072,36,130,132,115
2020-05-13,5,3,95,6,991,54,132,139,111
2020-05-14,6,2,92,6,1019,27,145,179,127
2020-05-15,8,2,97,9,1117,43,176,175,133
2020-05-16,3,5,118,7,947,58,221,247,125
2020-05-17,3,2,52,4,591,42,201,262,125
2020-05-18,8,4,156,11,1203,74,309,323,209
2020-05-19,6,5,155,7,1493,72,243,278,215
2020-05-20,5,11,194,15,1399,97,325,324,244
2020-05-21,9,16,266,22,1505,96,302,248,316
2020-05-22,7,10,296,15,1558,81,313,295,342
2020-05-23,7,6,225,9,1268,56,279,277,242
2020-05-24,4,6,153,8,816,55,289,307,202
2020-05-25,6,6,245,10,1267,84,358,404,243
2020-05-26,6,10,272,15,1466,64,391,389,300
2020-05-27,8,9,271,15,1685,95,358,339,308
2020-05-28,8,15,260,20,1666,112,379,435,377
2020-05-29,7,11,332,16,2021,80,385,427,440
2020-05-30,8,11,312,16,1595,82,344,424,360
2020-05-31,8,9,201,13,945,74,296,389,224
2020-06-01,14,7,416,18,1822,93,600,619,485
2020-06-02,11,16,476,24,1896,87,514,509,433
2020-06-03,13,7,401,18,2015,99,554,499,488
2020-06-04,12,12,386,21,1968,99,583,625,473
2020-06-05,11,13,443,20,2207,105,635,647,552
2020-06-06,16,20,554,31,1960,125,649,762,446
2020-06-07,17,9,237,19,965,108,588,664,392
2020-06-08,19,21,459,36,2090,151,831,874,670
2020-06-09,9,13,682,21,2463,159,783,783,702
2020-06-10,16,15,691,29,2514,162,1008,884,815
2020-06-11,13,11,815,18,2925,146,771,801,852
2020-06-12,17,16,809,28,2821,153,975,1006,943
2020-06-13,9,15,836,22,3085,130,858,972,682
2020-06-14,16,14,480,24,1737,140,870,1037,580
2020-06-15,17,12,699,25,2211,133,1132,1255,799
2020-06-16,17,17,882,30,2643,177,1294,1311,1066
2020-06-17,23,20,1074,37,3415,194,1206,1118,1109
2020-06-18,22,20,1103,36,3646,177,1346,1389,1242
