personas,3308876
varones,1605088
mujeres,1703788
fecha,fallecidos,terapia,casos_dx,graves,diagnosticos,internados,casos_fis,casos_fis_ajustada,casos_fa
2020-01-01,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,1,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,1,1,1,0
2020-03-03,0,0,0,0,0,0,1,1,1
2020-03-04,0,0,0,0,1,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,1,0,1,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,9,0,1,1,0
2020-03-09,0,0,0,0,0,0,1,1,0
2020-03-10,0,0,0,0,3,0,0,1,1
2020-03-11,0,0,0,0,0,1,2,3,0
2020-03-12,0,0,2,0,7,0,1,1,0
2020-03-13,0,0,0,0,10,1,4,4,0
2020-03-14,0,0,0,0,0,0,6,5,3
2020-03-15,0,0,0,0,0,1,3,2,1
2020-03-16,0,0,0,0,4,0,6,6,3
2020-03-17,0,0,2,0,26,2,8,8,5
2020-03-18,0,0,0,0,10,3,5,5,0
2020-03-19,0,0,3,0,32,0,15,15,5
2020-03-20,0,0,4,0,42,2,18,19,8
2020-03-21,0,1,0,1,22,1,20,20,6
2020-03-22,0,0,8,0,60,0,10,11,3
2020-03-23,0,0,3,0,91,1,6,6,2
2020-03-24,0,1,6,1,50,1,6,5,10
2020-03-25,0,1,8,1,75,2,6,7,7
2020-03-26,0,2,1,2,47,2,8,9,15
2020-03-27,0,1,1,1,3,3,9,9,14
2020-03-28,0,1,3,1,22,1,2,2,4
2020-03-29,1,1,17,1,190,1,2,3,5
2020-03-30,0,2,9,2,74,3,7,8,9
2020-03-31,0,0,5,0,11,0,2,3,7
2020-04-01,0,0,16,0,142,0,4,4,10
2020-04-02,0,0,20,0,247,0,2,1,11
2020-04-03,0,0,4,0,127,0,6,3,6
2020-04-04,0,0,5,0,56,2,3,2,9
2020-04-05,1,1,8,1,115,2,5,14,4
2020-04-06,0,0,7,0,110,1,7,8,5
2020-04-07,0,1,5,1,139,2,1,8,2
2020-04-08,0,1,6,1,270,1,3,4,5
2020-04-09,0,0,20,0,170,0,16,7,16
2020-04-10,0,3,33,3,193,4,8,8,3
2020-04-11,1,1,6,1,151,11,17,12,29
2020-04-12,0,0,6,0,302,10,4,7,6
2020-04-13,1,1,14,2,278,3,2,5,4
2020-04-14,0,0,14,0,222,4,10,8,9
2020-04-15,2,0,2,1,218,0,2,5,6
2020-04-16,0,0,6,0,242,1,6,2,9
2020-04-17,0,0,2,0,129,0,6,3,6
2020-04-18,0,0,11,0,182,0,3,3,3
2020-04-19,1,0,0,1,115,0,5,1,11
2020-04-20,2,2,1,4,154,16,8,10,1
2020-04-21,0,0,2,0,182,3,2,3,2
2020-04-22,1,0,4,1,193,1,0,0,2
