personas,1738929
varones,846831
mujeres,892098
fecha,fallecidos,terapia,casos_dx,graves,diagnosticos,internados,casos_fis,casos_fis_ajustada,casos_fa
2020-01-01,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,1,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,1,0,0,0,0
2020-03-08,0,0,0,0,1,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,1,0,1,1,0
2020-03-11,0,0,0,0,1,0,0,0,0
2020-03-12,0,0,0,0,1,0,0,0,0
2020-03-13,0,0,0,0,2,0,0,0,0
2020-03-14,0,0,0,0,0,0,1,1,0
2020-03-15,0,0,0,0,1,0,1,1,0
2020-03-16,0,0,0,0,6,0,5,5,0
2020-03-17,0,0,0,0,0,2,1,1,0
2020-03-18,0,0,0,0,3,3,1,1,4
2020-03-19,0,0,0,0,1,0,0,0,1
2020-03-20,0,0,0,0,0,1,2,2,1
2020-03-21,0,0,5,0,11,1,2,2,1
2020-03-22,0,0,0,0,1,1,2,2,0
2020-03-23,0,0,0,0,0,0,3,3,1
2020-03-24,0,0,0,0,2,3,3,3,3
2020-03-25,0,1,2,1,8,1,3,3,1
2020-03-26,0,2,1,2,11,3,6,6,0
2020-03-27,1,0,1,0,8,4,2,2,6
2020-03-28,0,0,1,0,9,2,1,1,3
2020-03-29,0,0,1,0,3,1,2,2,1
2020-03-30,0,1,0,1,4,4,1,1,3
2020-03-31,0,0,2,0,8,0,1,1,1
2020-04-01,1,3,9,3,25,1,3,3,0
2020-04-02,1,1,2,1,10,3,2,3,2
2020-04-03,0,0,3,0,24,2,1,2,2
2020-04-04,0,0,2,0,22,1,3,3,3
2020-04-05,0,0,1,0,12,0,1,2,0
2020-04-06,0,0,0,0,32,2,3,4,5
2020-04-07,1,1,5,2,23,8,4,3,3
2020-04-08,0,0,5,0,31,2,4,5,5
2020-04-09,0,0,7,0,47,7,2,1,9
2020-04-10,0,0,2,0,32,2,4,2,4
2020-04-11,0,0,5,0,81,2,2,2,1
2020-04-12,0,0,2,0,42,3,1,3,4
2020-04-13,0,1,1,1,28,3,2,2,2
2020-04-14,1,0,4,0,88,1,2,2,3
2020-04-15,1,1,1,2,28,3,0,0,2
2020-04-16,1,0,4,0,61,1,4,1,3
2020-04-17,0,0,1,0,45,1,2,3,1
2020-04-18,0,0,1,0,43,1,0,0,2
2020-04-19,1,0,1,1,14,0,0,0,0
2020-04-20,0,0,1,0,40,0,0,0,0
2020-04-21,0,0,2,0,20,0,1,0,2
2020-04-22,0,0,1,0,37,0,2,3,0
