"Date","CasesNational","CasesCABA","CasesBuenosAires","CasesCatamarca","CasesChaco","CasesChubut","CasesCordoba","CasesCorrientes","CasesEntreRios","CasesFormosa","CasesJujuy","CasesLaPampa","CasesLaRioja","CasesMendoza","CasesMisiones","CasesNeuquen","CasesRioNegro","CasesSalta","CasesSanJuan","CasesSanLuis","CasesSantaCruz","CasesSantaFe","CasesSantiagoDelEstero","CasesTierraDelFuego","CasesTucuman"
"2020-03-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-03","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-04","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-05","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-06","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-07","9","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-08","12","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-09","17","2","9","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0"
"2020-03-10","19","3","10","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0"
"2020-03-11","21","4","11","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0"
"2020-03-12","31","14","11","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0"
"2020-03-13","34","16","12","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0"
"2020-03-14","45","27","12","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0"
"2020-03-15","56","33","13","0","9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","1","0"
"2020-03-16","65","38","14","0","12","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","1","0"
"2020-03-17","78","42","15","0","13","0","2","0","1","0","1","0","0","0","0","0","2","1","0","2","1","0","0","1","0"
"2020-03-18","97","52","21","0","14","0","3","0","2","0","1","0","0","0","0","0","2","1","0","2","1","0","0","1","0"
"2020-03-19","128","60","35","0","16","0","5","0","2","0","1","0","0","0","0","0","4","1","0","2","1","1","1","1","1"
"2020-03-20","158","69","44","0","17","0","9","1","4","0","1","0","0","0","0","1","4","1","0","2","1","1","1","2","1"
"2020-03-21","225","98","58","0","22","0","13","3","4","0","1","0","0","5","0","1","5","1","0","2","1","4","1","5","2"
"2020-03-22","266","109","66","0","29","0","21","3","4","0","1","0","0","5","0","1","5","1","0","2","1","4","1","5","7"
"2020-03-23","301","120","71","0","33","0","24","3","4","0","1","0","0","5","0","1","5","1","0","2","1","18","1","5","7"
"2020-03-24","385","149","100","0","42","0","31","3","4","0","1","1","0","5","0","2","5","1","0","2","2","21","1","9","7"
"2020-03-25","502","170","130","0","54","0","46","3","7","0","1","1","0","6","0","3","5","1","0","6","7","43","1","10","9"
"2020-03-26","589","200","157","0","57","0","49","3","7","0","3","1","0","7","0","6","5","1","0","6","9","55","1","13","9"
"2020-03-27","690","227","193","0","60","0","54","6","10","0","3","1","0","8","1","10","8","1","0","6","9","64","2","13","15"
"2020-03-28","745","245","201","0","65","0","55","8","10","0","3","1","0","9","1","12","8","1","0","6","9","77","2","17","15"
"2020-03-29","820","258","217","0","69","0","73","9","10","0","3","3","1","10","2","12","8","1","1","6","9","90","2","21","15"
"2020-03-30","966","292","253","0","81","0","81","19","13","0","3","3","1","13","2","20","8","1","1","6","9","111","2","32","15"
"2020-03-31","1054","311","270","0","84","0","95","20","13","0","3","3","1","15","3","20","9","1","1","6","9","133","2","39","16"
"2020-04-01","1133","321","280","0","96","0","101","21","14","0","3","3","1","25","3","24","9","3","1","7","19","144","2","39","17"
"2020-04-02","1265","345","316","0","99","0","117","22","16","0","5","3","4","25","3","28","9","3","1","9","21","152","3","63","21"
"2020-04-03","1353","373","338","0","107","0","131","22","18","0","5","3","4","27","3","29","10","3","1","10","21","160","3","64","21"
"2020-04-04","1451","407","364","0","115","0","134","22","18","0","5","3","6","27","3","33","15","3","1","10","22","165","4","72","22"
