"Date","CasesNational","CasesCABA","CasesBuenosAires","CasesCatamarca","CasesChaco","CasesChubut","CasesCordoba","CasesCorrientes","CasesEntreRios","CasesFormosa","CasesJujuy","CasesLaPampa","CasesLaRioja","CasesMendoza","CasesMisiones","CasesNeuquen","CasesRioNegro","CasesSalta","CasesSanJuan","CasesSanLuis","CasesSantaCruz","CasesSantaFe","CasesSantiagoDelEstero","CasesTierraDelFuego","CasesTucuman"
2020-03-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2020-03-10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,11,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-16,9,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,13,4,1,0,1,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
2020-03-18,19,10,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,31,8,14,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1
2020-03-20,30,9,9,0,1,0,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-03-21,67,29,14,0,5,0,4,2,0,0,0,0,0,5,0,0,1,0,0,0,0,3,0,3,1
2020-03-22,41,11,8,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-03-23,35,11,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
2020-03-24,84,29,29,0,9,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,4,0
2020-03-25,117,21,30,0,12,0,15,0,3,0,0,0,0,1,0,1,0,0,0,4,5,22,0,1,2
2020-03-26,87,30,27,0,3,0,3,0,0,0,2,0,0,1,0,3,0,0,0,0,2,12,0,3,0
2020-03-27,101,27,36,0,3,0,5,3,3,0,0,0,0,1,1,4,3,0,0,0,0,9,1,0,6
2020-03-28,55,18,8,0,5,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,13,0,4,0
2020-03-29,75,13,16,0,4,0,18,1,0,0,0,2,1,1,1,0,0,0,1,0,0,13,0,4,0
2020-03-30,146,34,36,0,12,0,8,10,3,0,0,0,0,3,0,8,0,0,0,0,0,21,0,11,0
2020-03-31,88,19,17,0,3,0,14,1,0,0,0,0,0,2,1,0,1,0,0,0,0,22,0,7,1
2020-04-01,79,10,10,0,12,0,6,1,1,0,0,0,0,10,0,4,0,2,0,1,10,11,0,0,1
2020-04-02,132,24,36,0,3,0,16,1,2,0,2,0,3,0,0,4,0,0,0,2,2,8,1,24,4
2020-04-03,88,28,22,0,8,0,14,0,2,0,0,0,0,2,0,1,1,0,0,1,0,8,0,1,0
2020-04-04,98,34,26,0,8,0,3,0,0,0,0,0,2,0,0,4,5,0,0,0,1,5,1,8,1
2020-04-05,103,32,33,0,0,0,5,0,1,0,0,0,2,2,0,11,2,0,0,0,1,11,0,3,0
2020-04-06,74,17,12,0,4,0,7,2,0,0,0,0,1,1,0,6,2,0,0,1,0,8,5,2,5
2020-04-07,87,24,34,0,4,0,4,0,1,0,0,0,0,2,0,3,2,0,0,0,8,3,0,2,1
2020-04-08,80,18,17,0,15,0,1,0,0,0,0,1,0,6,0,17,1,0,0,0,0,2,0,2,0
2020-04-09,99,23,28,0,6,0,5,0,2,0,0,0,5,2,0,7,13,0,0,0,0,7,0,0,1
2020-04-10,81,11,19,0,5,0,13,0,0,0,0,1,0,9,0,7,7,0,0,0,6,1,0,2,0
2020-04-11,167,46,37,0,0,0,32,0,0,0,0,0,4,5,0,1,23,0,1,0,3,3,3,8,1
2020-04-12,66,8,28,0,1,0,5,0,-1,0,0,0,1,3,0,1,13,0,0,0,0,3,0,4,0
2020-04-13,69,10,29,0,3,0,4,7,0,0,0,0,3,2,0,2,3,0,0,0,0,2,0,4,0
2020-04-14,166,22,66,0,31,0,12,1,0,0,0,0,6,3,0,2,13,0,0,0,0,2,0,8,0
2020-04-15,128,30,62,0,7,1,6,-1,0,0,0,0,3,1,0,1,12,1,0,0,0,2,0,3,0
