"Date","DeathsNational","DeathsCABA","DeathsBuenosAires","DeathsCatamarca","DeathsChaco","DeathsChubut","DeathsCordoba","DeathsCorrientes","DeathsEntreRios","DeathsFormosa","DeathsJujuy","DeathsLaPampa","DeathsLaRioja","DeathsMendoza","DeathsMisiones","DeathsNeuquen","DeathsRioNegro","DeathsSalta","DeathsSanJuan","DeathsSanLuis","DeathsSantaCruz","DeathsSantaFe","DeathsSantiagoDelEstero","DeathsTierraDelFuego","DeathsTucuman"
"2020-08-14","5527","1677","3207","0","174","4","77","2","19","0","73","0","21","70","2","31","107","8","0","0","4","30","0","15","6"
"2020-08-15","5637","1687","3289","0","178","4","77","2","21","0","73","0","21","75","2","31","108","11","0","0","4","31","0","17","6"
"2020-08-16","5703","1695","3318","0","181","4","81","2","23","0","89","0","21","77","2","31","108","12","0","0","4","32","0","17","6"
"2020-08-17","5814","1726","3376","0","185","4","82","2","25","0","89","0","21","78","2","32","114","18","0","0","4","33","0","17","6"
"2020-08-18","6048","1785","3510","0","188","4","87","2","25","1","105","0","21","86","2","34","116","19","0","0","4","35","0","18","6"
"2020-08-19","6330","1832","3718","0","189","4","87","2","26","1","117","0","21","91","2","35","119","21","0","0","4","37","0","18","6"
"2020-08-20","6517","1869","3821","0","191","5","92","2","26","1","132","0","21","95","2","36","125","23","0","0","10","40","0","19","7"
"2020-08-21","6730","1906","3945","0","193","6","94","3","28","1","159","0","21","100","2","38","125","26","0","0","10","46","1","19","7"
"2020-08-22","6848","1916","4022","0","193","6","98","3","28","1","174","0","21","103","2","38","128","28","0","0","10","50","1","19","7"
"2020-08-23","6985","1924","4126","0","193","6","100","4","28","1","174","0","31","106","2","38","132","29","0","0","10","53","1","20","7"
"2020-08-24","7366","1985","4396","0","197","6","105","2","28","1","186","0","41","109","2","40","135","30","0","0","12","60","3","21","7"
"2020-08-25","7563","2020","4515","0","199","6","107","2","31","1","196","1","47","113","2","41","139","32","0","0","12","65","4","22","8"
"2020-08-26","7839","2060","4701","0","203","6","111","2","32","1","209","1","48","117","2","41","150","37","0","0","12","69","4","25","8"
"2020-08-27","8050","2094","4844","0","204","6","111","2","33","1","218","1","53","119","2","44","157","38","0","0","12","73","4","25","9"
"2020-08-28","8271","2130","4986","0","206","6","113","2","37","1","229","1","53","122","2","47","161","39","0","0","14","77","4","27","14"
"2020-08-30","8457","2182","5064","0","211","6","125","2","44","1","229","1","53","126","2","48","175","41","1","0","14","81","8","29","14"
"2020-08-31","8660","2227","5188","0","217","6","127","2","46","1","229","1","53","129","2","50","177","45","1","0","14","91","9","30","15"
"2020-09-02","9118","2328","5472","0","218","6","134","2","53","1","240","2","61","136","2","53","187","46","1","0","16","101","11","33","15"
"2020-09-04","9623","2402","5830","0","223","7","146","2","54","1","248","3","61","139","2","57","200","55","1","0","17","113","11","36","15"
"2020-09-06","9859","2426","5969","0","227","7","159","2","59","1","253","3","64","141","2","62","207","59","1","0","17","130","15","39","16"
"2020-09-07","10129","2492","6107","0","228","8","164","2","63","1","258","3","73","149","2","66","212","63","0","0","21","143","18","39","17"
"2020-09-08","10333","2515","6244","0","231","8","168","2","67","1","258","3","73","163","2","69","218","63","7","0","21","144","19","39","18"
"2020-09-09","10658","2568","6443","0","233","8","178","2","70","1","270","3","74","177","2","71","224","71","7","0","22","156","20","40","18"
"2020-09-10","10907","2604","6582","0","234","8","183","2","77","1","276","3","76","190","2","73","228","80","7","0","22","177","23","41","18"
"2020-09-11","11148","2665","6707","0","236","10","189","3","87","1","277","3","76","198","2","74","235","85","7","0","22","187","23","42","19"
"2020-09-12","11263","2689","6760","0","239","12","195","3","87","1","283","3","76","200","2","74","235","87","12","0","22","195","23","45","20"
"2020-09-14","11667","2761","6957","0","244","18","206","3","88","1","299","3","104","205","2","80","246","94","12","0","37","213","26","48","20"
"2020-09-15","11852","2788","7056","0","246","21","214","3","93","1","309","3","109","208","2","81","253","99","12","0","37","220","26","48","23"
"2020-09-16","12116","2828","7221","0","246","21","223","3","96","1","309","3","109","211","2","82","261","101","14","0","40","237","26","50","32"
"2020-09-17","12460","2853","7434","0","249","22","230","3","101","1","331","3","115","216","2","89","267","116","14","0","42","253","28","52","39"
"2020-09-18","12656","2883","7525","0","253","24","240","3","103","1","331","3","120","221","2","95","273","134","21","0","43","262","28","52","39"
"2020-09-20","13053","2903","7698","0","258","24","257","11","106","1","360","3","121","231","2","101","280","171","22","0","43","271","34","53","103"
"2020-09-21","13482","2933","7974","0","265","24","262","12","109","1","371","3","123","237","2","114","301","194","22","0","44","298","36","54","103"
"2020-09-22","13952","2977","8312","0","265","26","271","12","117","1","384","3","123","247","2","120","313","206","22","3","45","306","38","56","103"
"2020-09-23","14376","3011","8604","0","268","27","281","11","120","1","396","3","123","259","2","127","321","221","26","3","46","323","42","58","103"
"2020-09-25","15208","3095","9107","0","277","28","311","12","125","1","428","2","123","280","2","132","343","278","26","4","49","369","46","61","109"
"2020-09-26","15543","3164","9269","0","279","31","329","12","127","1","447","3","123","294","2","137","343","293","29","4","54","384","48","61","109"
"2020-09-27","15749","3226","9337","0","280","31","346","15","129","1","465","5","123","296","2","139","351","296","29","4","56","397","51","61","109"
"2020-09-28","16113","3264","9529","0","282","36","358","19","130","1","498","5","123","298","3","142","357","315","29","5","57","421","56","64","121"
"2020-09-29","16519","3316","9779","0","283","43","379","18","136","1","502","5","123","305","3","144","365","326","33","5","60","436","57","66","134"
"2020-09-30","16937","3435","9953","0","287","49","398","18","138","1","538","5","123","319","3","145","377","338","36","6","61","446","61","66","134"
"2020-10-01","20288","3490","13150","0","290","55","415","18","138","1","554","5","127","326","3","146","385","349","37","7","64","467","61","66","134"
"2020-10-03","20795","3555","13390","0","298","57","448","23","141","1","573","7","127","356","4","149","393","366","41","19","66","505","64","70","142"
"2020-10-04","21018","3612","13450","0","300","57","473","23","141","1","594","9","127","362","4","150","396","383","43","25","67","521","67","70","143"
"2020-10-05","21468","3671","13653","0","305","68","494","24","148","1","623","9","127","370","4","150","406","424","43","28","70","556","69","73","152"
