"Date","DeathsNational","DeathsCABA","DeathsBuenosAires","DeathsCatamarca","DeathsChaco","DeathsChubut","DeathsCordoba","DeathsCorrientes","DeathsEntreRios","DeathsFormosa","DeathsJujuy","DeathsLaPampa","DeathsLaRioja","DeathsMendoza","DeathsMisiones","DeathsNeuquen","DeathsRioNegro","DeathsSalta","DeathsSanJuan","DeathsSanLuis","DeathsSantaCruz","DeathsSantaFe","DeathsSantiagoDelEstero","DeathsTierraDelFuego","DeathsTucuman"
2020-08-15,110,10,82,0,4,0,0,0,2,0,0,0,0,5,0,0,1,3,0,0,0,1,0,2,0
2020-08-16,66,8,29,0,3,0,4,0,2,0,16,0,0,2,0,0,0,1,0,0,0,1,0,0,0
2020-08-17,111,31,58,0,4,0,1,0,2,0,0,0,0,1,0,1,6,6,0,0,0,1,0,0,0
2020-08-18,234,59,134,0,3,0,5,0,0,1,16,0,0,8,0,2,2,1,0,0,0,2,0,1,0
2020-08-19,282,47,208,0,1,0,0,0,1,0,12,0,0,5,0,1,3,2,0,0,0,2,0,0,0
2020-08-20,187,37,103,0,2,1,5,0,0,0,15,0,0,4,0,1,6,2,0,0,6,3,0,1,1
2020-08-21,213,37,124,0,2,1,2,1,2,0,27,0,0,5,0,2,0,3,0,0,0,6,1,0,0
2020-08-22,118,10,77,0,0,0,4,0,0,0,15,0,0,3,0,0,3,2,0,0,0,4,0,0,0
2020-08-23,137,8,104,0,0,0,2,1,0,0,0,0,10,3,0,0,4,1,0,0,0,3,0,1,0
2020-08-24,381,61,270,0,4,0,5,-2,0,0,12,0,10,3,0,2,3,1,0,0,2,7,2,1,0
2020-08-25,197,35,119,0,2,0,2,0,3,0,10,1,6,4,0,1,4,2,0,0,0,5,1,1,1
2020-08-26,276,40,186,0,4,0,4,0,1,0,13,0,1,4,0,0,11,5,0,0,0,4,0,3,0
2020-08-27,211,34,143,0,1,0,0,0,1,0,9,0,5,2,0,3,7,1,0,0,0,4,0,0,1
2020-08-28,221,36,142,0,2,0,2,0,4,0,11,0,0,3,0,3,4,1,0,0,2,4,0,2,5
2020-08-29,93,26,39,0,2,0,6,0,3,0,0,0,0,2,0,1,7,1,0,0,0,2,2,1,0
2020-08-30,93,26,39,0,3,0,6,0,4,0,0,0,0,2,0,0,7,1,1,0,0,2,2,1,0
