"content_length","epi_rows","test_rows","last_date","last_run","zip_last_modified","log_message","runtime"
"2106594511","9555230","86550","2021-04-24","2021-04-25 11:17:02",,"Success."
"2113672778","9585311","86755","2021-04-25","2021-04-26 08:11:25",,"Success."
"2113672778","9585311","86755","2021-04-25","2021-04-26 08:11:25",,"File size smaller than last run."
"2126577257","9641031","87070","2021-04-26","2021-04-27 09:54:22",,"Success."
"2126577257","9641031","87070","2021-04-26","2021-04-27 09:54:22",,"File size smaller than last run."
"2142316246",9710449,87485,"2021-04-27","2021-04-28 05:30:00",,"Success."
"2157965730",9780632,87874,"2021-04-28","2021-04-29 10:09:59",,"Success."
2157965730,9780632,87874,"2021-04-28","2021-04-29 10:09:59",
2157965730,9780632,87874,"2021-04-28","2021-04-29 10:09:59",
2173724769,9849419,87874,"2021-04-29","2021-04-30 07:56:12",,"Vaccine file did not exist."
2173724769,9849419,88294,"2021-04-29","2021-04-30 08:01:53",,"Success."
2188618183,9914857,88674,"2021-04-30","2021-05-01 10:28:12",,"Success."
2188618183,9914857,88674,"2021-04-30","2021-05-01 10:28:12","2021-05-01 02:18:55","Zip file not updated since last run"
2188618183,9914857,88674,"2021-04-30","2021-05-01 10:28:12","2021-05-01 02:18:55","Zip file not updated since last run",2021-05-01 13:20:30
2188618183,9914857,88674,"2021-04-30","2021-05-01 10:28:12","2021-05-01 02:18:55",2021-05-02 09:41:39
2198554097,9958713,88948,"2021-05-01","2021-05-02 11:22:48",2021-05-02 02:19:00,"Success.",2021-05-02 11:24:56
2204283691,9982551,89154,"2021-05-02","2021-05-03 08:48:20",2021-05-03 02:18:56,"Success.",2021-05-03 08:50:35
2218306943,10045083,89454,"2021-05-03","2021-05-04 08:14:44",2021-05-04 02:19:04,"Success.",2021-05-04 08:16:53
2235317112,10122123,89454,"2021-05-04","2021-05-05 08:13:57",2021-05-05 02:19:15,"Success.",2021-05-05 08:16:06
2248602972,10180166,90320,"2021-05-05","2021-05-06 09:59:13",2021-05-06 02:19:06,"Success.",2021-05-06 10:02:58
2264762318,10252565,90320,"2021-05-06","2021-05-07 08:39:26",2021-05-07 02:20:51,"Success.",2021-05-07 08:41:56
2264762318,10252565,90320,"2021-05-06","2021-05-07 08:39:26",2021-05-08 02:19:17,"Update file is smaller than previous day's file. 1370926302",2021-05-08 09:04:06
2264762318,10252565,90320,"2021-05-06","2021-05-07 08:39:26",2021-05-08 02:19:17,"Update file is smaller than previous day's file. 1370926302",2021-05-08 11:23:27
2292440936,10377156,91469,"2021-05-08","2021-05-08 23:57:31",2021-05-09 02:20:54,"Success.",2021-05-09 00:01:20
2292440936,10377156,91469,"2021-05-08","2021-05-08 23:57:31",2021-05-10 02:19:14,"Update file is smaller than previous day's file. 1370947139",2021-05-10 08:12:24
2311433612,10459922,92043,"2021-05-10","2021-05-11 08:10:26",2021-05-11 03:21:02,"Success.",2021-05-11 08:12:18
2328049429,10534269,92488,"2021-05-11","2021-05-12 09:54:13",2021-05-12 02:20:58,"Success.",2021-05-12 09:56:33
2342336111,10598281,92890,"2021-05-12","2021-05-13 09:01:29",2021-05-13 02:21:01,"Success.",2021-05-13 09:03:28
2357072576,10662332,93311,"2021-05-13","2021-05-14 07:55:32",2021-05-14 02:20:56,"Success.",2021-05-14 07:57:30
2357072576,10662332,93311,"2021-05-13","2021-05-14 07:55:32",2021-05-15 02:20:53,"Update file is smaller than previous day's file. 2357072576",2021-05-15 08:27:44
2357072576,10662332,93311,"2021-05-13","2021-05-14 07:55:32",2021-05-16 02:20:57,"Update file is smaller than previous day's file. 2357072576",2021-05-16 10:02:32
2397386458,10843478,94270,"2021-05-16","2021-05-17 08:19:14",2021-05-17 02:20:59,"Success.",2021-05-17 08:21:14
2413969113,10916865,94706,"2021-05-17","2021-05-18 08:36:17",2021-05-18 00:20:58,"Success.",2021-05-18 08:38:12
2434161358,11007036,95194,"2021-05-18","2021-05-19 09:19:21",2021-05-19 00:21:01,"Success.",2021-05-19 09:21:26
2455635394,11104007,95721,"2021-05-19","2021-05-20 09:19:30",2021-05-20 00:21:08,"Success.",2021-05-20 09:21:27
2474695145,11187063,96152,"2021-05-20","2021-05-21 08:48:07",2021-05-21 00:21:12,"Success.",2021-05-21 08:50:05
2493905887,11270505,96586,"2021-05-21","2021-05-22 09:46:19",2021-05-22 00:21:13,"Success.",2021-05-22 09:48:57
2517370064,11380431,96986,"2021-05-22","2021-05-23 09:37:55",2021-05-23 03:21:14,"Success.",2021-05-23 12:40:27
2529621178,11434556,97273,"2021-05-23","2021-05-24 19:25:45",2021-05-24 03:21:17,"Success.",2021-05-24 19:28:21
2541674573,11486237,97581,"2021-05-24","2021-05-25 12:59:44",2021-05-25 03:21:18,"Success.",2021-05-25 13:02:13
2555591250,11547610,97937,"2021-05-25","2021-05-26 11:24:09",2021-05-26 03:21:22,"Success.",2021-05-26 11:27:01
2555591250,11547610,97937,"2021-05-25","2021-05-26 11:24:09","2021-05-26 03:21:22","Vaccine file did not exist.",2021-05-27 08:49:36
2555591250,11547610,97937,"2021-05-25","2021-05-26 11:24:09",2021-05-27 00:21:21,"Vaccine file did not exist.",2021-05-27 10:19:45
2574721753,11631680,98374,"2021-05-26","2021-05-27 12:30:23",2021-05-27 00:21:21,"Success.",2021-05-27 12:32:35
2574721753,11631680,98374,"2021-05-26","2021-05-27 12:30:23","2021-05-27 00:21:21","Vaccine file did not exist.",2021-05-28 09:24:52
2596585440,11726154,98900,"2021-05-27","2021-05-28 09:28:26",2021-05-28 00:21:28,"Success.",2021-05-28 09:30:57
2616748740,11813655,99356,"2021-05-28","2021-05-29 12:12:49",2021-05-29 00:21:28,"Success.",2021-05-29 12:15:17
2633190246,11885764,99758,"2021-05-29","2021-05-30 11:13:17",2021-05-30 00:21:29,"Success.",2021-05-30 11:15:27
2645758777,11941064,100050,"2021-05-30","2021-05-31 08:34:15",2021-05-31 00:21:30,"Success.",2021-05-31 08:36:24
2661753705,12009548,100450,"2021-05-31","2021-06-01 09:55:35",2021-06-01 00:21:34,"Success.",2021-06-01 09:58:31
2681260133,12094687,100940,"2021-06-01","2021-06-02 07:46:59",2021-06-02 00:21:36,"Success.",2021-06-02 07:50:05
2700502460,12179379,101406,"2021-06-02","2021-06-03 07:33:28",2021-06-03 00:21:39,"Success.",2021-06-03 07:36:06
2719546182,12263603,101853,"2021-06-03","2021-06-04 08:12:09",2021-06-04 00:21:41,"Success.",2021-06-04 08:14:35
2719546182,12263603,101853,"2021-06-03","2021-06-04 08:12:09",2021-06-05 00:21:18,"Update file is smaller than previous day's file. 2472739960",2021-06-05 08:23:42
2719546182,12263603,101853,"2021-06-03","2021-06-04 08:12:09",2021-06-05 00:21:18,"Update file is smaller than previous day's file. 2472739960",2021-06-05 08:44:01
2719546182,12263603,101853,"2021-06-03","2021-06-04 08:12:09","2021-06-04 00:21:41","Update file is smaller than previous day's file. 2472739960",2021-06-06 12:08:33
2719546182,12263603,101853,"2021-06-03","2021-06-04 08:12:09","2021-06-04 00:21:41","Vaccine file did not exist.",2021-06-06 12:17:28
2752351172,12408173,102669,"2021-06-05","2021-06-06 12:22:05","2021-06-04 00:21:41","Success.",2021-06-06 12:25:24
2762428080,12451265,102940,"2021-06-06","2021-06-07 08:33:13",2021-06-07 00:21:49,"Success.",2021-06-07 08:35:46
