"Date","Buenos Aires","Ciudad de Buenos Aires","Catamarca","Chaco","Chubut","Córdoba","Corrientes","Entre Ríos","Formosa","Jujuy","La Pampa","La Rioja","Mendoza","Misiones","Neuquén","Río Negro","Salta","San Juan","San Luis","Santa Cruz","Santa Fe","Santiago del Estero","Tierra del Fuego","Tucumán"
"2020-08-14","175538","75604","63","4328","390","4290","223","1465","78","4336","182","661","2910","56","1735","3653","930","22","34","954","2954","223","1274","534"
"2020-08-15","179976","76519","63","4368","394","4451","225","1529","79","4493","183","716","3120","59","1807","3768","996","22","34","992","3133","249","1362","562"
"2020-08-16","183093","77491","63","4436","403","4592","228","1631","80","4765","184","750","3330","59","1834","3854","1088","22","34","1034","3293","282","1419","604"
"2020-08-17","185614","78201","65","4504","417","4764","230","1704","80","5009","185","795","3499","55","1898","3936","1176","22","34","1067","3432","326","1479","634"
"2020-08-18","190199","79252","64","4549","424","4991","233","1750","79","5227","184","851","3623","55","1911","4074","1287","22","36","1089","3561","338","1489","678"
"2020-08-19","194502","80346","63","4606","437","5091","236","1810","79","5360","186","905","3773","55","1961","4168","1401","22","36","1145","3763","379","1553","782"
"2020-08-20","199747","81626","64","4701","455","5272","239","1861","80","5624","187","927","4040","53","2020","4329","1500","35","39","1178","4053","417","1600","837"
"2020-08-21","205069","82805","63","4756","474","5454","243","1997","79","5874","187","978","4252","58","2067","4466","1590","36","39","1246","4315","455","1636","904"
"2020-08-22","209907","83905","64","4834","510","5673","247","2132","80","6086","191","1006","4497","59","2170","4584","1740","39","41","1293","4609","489","1670","976"
"2020-08-23","212736","84925","63","4861","534","5906","252","2258","82","6271","195","1040","4637","56","2278","4703","1837","58","43","1334","4817","517","1698","1053"
"2020-08-24","218392","86258","64","4914","546","6114","259","2382","84","6623","193","1138","4809","58","2293","4764","1932","96","41","1378","5026","583","1752","1168"
"2020-08-25","223704","87569","64","4967","581","6412","260","2509","83","6838","194","1177","5073","59","2415","4938","2109","110","40","1416","5382","654","1803","1281"
"2020-08-26","230332","89137","63","5041","650","6767","272","2621","82","7074","195","1214","5349","59","2547","5173","2285","146","44","1479","5763","692","1854","1349"
"2020-08-27","236734","90357","64","5104","699","7130","278","2781","82","7274","194","1272","5601","58","2669","5441","2464","182","51","1530","6234","745","1879","1469"
"2020-08-28","244220","91787","65","5183","765","7505","313","2936","84","7621","194","1332","5943","59","2768","5591","2729","193","61","1618","6741","789","1908","1604"
"2020-08-29","249765","92982","65","5281","808","7842","321","3061","84","7942","200","1360","6233","60","2845","5779","2911","206","86","1650","7147","841","1943","1827"
"2020-08-30","253652","94217","65","5342","820","8134","317","3171","83","8091","200","1417","6549","62","2932","5870","3161","221","85","1734","7430","898","1982","1993"
"2020-08-31","258793","95604","66","5417","899","8522","311","3338","84","8418","204","1588","6830","62","3036","5996","3320","223","147","1771","7905","938","2020","2243"
"2020-09-01","264950","96999","67","5492","955","8914","314","3650","83","8542","212","1628","7191","66","3172","6175","3503","223","156","1808","8582","976","2102","2479"
"2020-09-02","271185","98345","67","5576","983","9394","321","3838","84","8860","213","1695","7604","64","3263","6348","3687","255","177","1915","9329","1031","2135","2803"
"2020-09-03","278175","99756","70","5682","1062","9843","330","3947","88","9217","214","1788","8148","64","3398","6506","3928","329","195","1962","10093","1095","2233","3075"
"2020-09-04","283857","101034","71","5771","1101","10341","333","4113","90","9549","221","1887","8801","65","3471","6768","4197","358","210","2029","10806","1152","2272","3385"
"2020-09-05","289177","102118","81","5912","1178","10765","335","4201","89","9875","230","1945","9284","65","3642","6937","4476","373","245","2167","11504","1219","2296","3692"
"2020-09-06","292446","102920","86","6014","1217","11152","345","4293","90","10125","234","2039","9697","67","3819","6991","4632","377","247","2288","12119","1295","2345","3954"
"2020-09-07","297079","104009","88","6056","1274","11608","386","4353","90","10480","243","2131","10320","71","3959","7198","4827","364","307","2322","12636","1343","2400","4463"
"2020-09-08","303988","105309","96","6150","1322","11989","406","4577","90","10774","247","2215","10836","69","4049","7497","5109","380","325","2398","13612","1389","2461","4746"
"2020-09-09","310254","106573","99","6290","1361","12566","431","4707","91","11117","267","2360","11634","71","4118","7777","5470","384","346","2540","14701","1470","2530","5136"
"2020-09-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-09-11","322238","109072","114","6543","1480","13396","603","4995","96","11699","321","2665","13060","65","4459","8360","6159","399","379","2762","16673","1641","2635","5891"
"2020-09-12","328100","110057","120","6660","1645","13887","659","5133","95","11953","351","2712","13778","68","4526","8589","6425","422","382","2876","17562","1753","2683","6045"
