"LastUpdate","AffectedProvinces","NotifiedCases","DiscardedCases","Deaths","Cases","Imported","Contact","Community","Investigation","BUE","CABA","CHA","JUY","CBA","RNG","SFE","MZA","NQN","ERI","SCR","TDF","LRJ","CHU","SAL","TUC","CTE","LPA","FOR","CAT","MIS","SGO","SLU","SJU"
"2020-07-31 16:45:23","24","676692","416988","3543","191289","2873","54915","104695","28806","114580","59691","3579","2260","2256","1947","1216","1215","1187","813","457","446","338","275","256","205","168","117","79","61","51","46","26","20"
"2020-08-01 16:45:24","24","689793","423123","3596","196530","2899","55946","107909","29776","118166","60659","3638","2347","2345","2007","1299","1294","1195","827","506","493","341","285","278","225","193","146","79","61","50","48","28","20"
"2020-08-02 16:45:18","24","698617","428344","3648","201906","2963","56975","110459","31509","121963","61630","3671","2434","2383","2063","1394","1372","1203","847","589","524","348","295","287","259","197","153","79","63","56","48","28","20"
"2020-08-03 16:45:20","24","713693","434939","3813","206730","3069","58084","114826","30751","125121","62682","3702","2567","2484","2126","1473","1435","1224","876","633","551","353","296","292","267","195","158","81","65","52","49","26","22"
"2020-08-04 16:45:23","24","733345","442881","3979","213522","3093","59408","119544","31477","129448","64063","3755","2753","2714","2323","1579","1536","1242","898","691","567","382","338","293","291","191","159","82","63","51","50","31","22"
"2020-08-05 16:45:23","24","753838","451455","4106","220669","3148","60922","124163","32436","134124","65530","3825","2888","2851","2444","1677","1637","1323","940","734","617","409","372","319","302","196","165","80","68","61","51","33","23"
"2020-08-06 16:45:21","24","773272","459686","4251","228173","3180","62150","128781","34062","139104","66974","3872","2995","2959","2666","1794","1778","1376","999","801","638","449","414","349","309","200","170","81","78","61","52","32","22"
"2020-08-07 16:45:24","24","791880","470163","4411","235664","3246","63695","133585","35138","144304","68211","3949","3157","3029","2771","1918","1912","1418","1056","886","702","478","468","358","311","204","177","107","81","61","51","33","22"
"2020-08-08 16:45:25","24","806841","477897","4523","241798","3269","64762","136987","36780","148357","69177","4003","3357","3307","2841","2049","2042","1436","1087","938","710","536","514","367","327","207","178","116","82","62","49","33","23"
"2020-08-10 17:09:02","24","833233","491526","4764","253855","3476","67245","144896","38238","156663","71097","4085","3682","3569","3008","2276","2244","1492","1209","1043","808","604","519","420","350","215","180","139","84","62","53","31","22"
