"Date","BA-CCases","BA-CNewDeaths","BA-PCases","BA-PNewDeaths","CACases","CANewDeaths","CHCases","CHNewDeaths","CBCases","CBNewDeaths","CDCases","CDNewDeaths","CRCases","CRNewDeaths","ERCases","ERNewDeaths","FOCases","FONewDeaths","JYCases","JYNewDeaths","LPCases","LPNewDeaths","LRCases","LRNewDeaths","MDCases","MDNewDeaths","MICases","MINewDeaths","NECases","NENewDeaths","RNCases","RNNewDeaths","SACases","SANewDeaths","SJCases","SJNewDeaths","SLCases","SLNewDeaths","SCCases","SCNewDeaths","SFCases","SFNewDeaths","SECases","SENewDeaths","TFCases","TFNewDeaths","TUCases","TUNewDeaths","Total","D","NC","ND"
"2020-03-03","This template needs to be updated.  Please update this template to reflect recent events or newly available information. Relevant discussion may be found on  the talk page.",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","1","0","1"
"2020-03-04","0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","1","0","0"
"2020-03-05","0",NA,"2",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","2","0","1"
"2020-03-06","0",NA,"6",NA,"1",NA,"0",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","8","0","6"
"2020-03-07","0",NA,"7","1","1",NA,"0",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","9","1","1"
"2020-03-08","1",NA,"9","1","2",NA,"0",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","12","1","3"
"2020-03-09","0",NA,"10","1","2",NA,"0",NA,"2",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","17","1","5"
"2020-03-10","0",NA,"11","1","3",NA,"0",NA,"2",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","19","1","2"
"2020-03-11","0",NA,"12","1","4",NA,"0",NA,"2",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","21","1","2"
"2020-03-12","0",NA,"15","1","8",NA,"0",NA,"4",NA,"0",NA,"3",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","31","1","10"
"2020-03-13","0",NA,"17","1","9",NA,"0",NA,"4","1","0",NA,"3",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","34","2","3"
"2020-03-14","1",NA,"26","1","11",NA,"0",NA,"5","1","0",NA,"3",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"1",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0","45","2","11"
"2020-03-15","0",NA,"32","1","12",NA,"0",NA,"7","1","0",NA,"3",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"1",NA,"0",NA,"1",NA,"0",NA,"2",NA,"0","56","2","11"
"2020-03-16","0",NA,"37","1","16",NA,"0",NA,"11","1","0",NA,"3",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"1",NA,"0",NA,"0",NA,"1",NA,"0",NA,"1",NA,"0",NA,"2",NA,"0","65","2","9"
"2020-03-17","0",NA,"40","1","17",NA,"0",NA,"12","1","0",NA,"4",NA,"0",NA,"1",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"2",NA,"1",NA,"0",NA,"1",NA,"1",NA,"1",NA,"0",NA,"2",NA,"0","79","2","14"
"2020-03-18","0",NA,"53","2","23",NA,"0",NA,"13","1","0",NA,"5",NA,"0",NA,"3",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"2",NA,"1",NA,"0",NA,"1",NA,"1",NA,"1",NA,"0",NA,"2",NA,"0","97","3","19"
"2020-03-19","1",NA,"67","2","38",NA,"0",NA,"15","1","0",NA,"8",NA,"0",NA,"3",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"3",NA,"1",NA,"0",NA,"1",NA,"1",NA,"2",NA,"0",NA,"2",NA,"1","128","3","31"
"2020-03-20","0",NA,"80","2","49",NA,"0",NA,"16","1","0",NA,"13",NA,"1",NA,"4",NA,"0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"0",NA,"2",NA,"4",NA,"1",NA,"0",NA,"1",NA,"1",NA,"2",NA,"1",NA,"3",NA,"1","158","3","30"
"2020-03-21","0",NA,"113","2","64","1","0",NA,"21","1","0",NA,"17",NA,"3",NA,"4",NA,"0",NA,"1",NA,"0",NA,"0",NA,"5",NA,"0",NA,"2",NA,"5",NA,"1",NA,"0",NA,"1",NA,"1",NA,"4",NA,"1",NA,"6",NA,"2","225","4","67"
"2020-03-22","1",NA,"127","2","72",NA,"0",NA,"28","1","0",NA,"25",NA,"3",NA,"4",NA,"0",NA,"1",NA,"0",NA,"0",NA,"5",NA,"0",NA,"2",NA,"5",NA,"1",NA,"0",NA,"1",NA,"1",NA,"4",NA,"2",NA,"6",NA,"7","266","4","41"
