"","NumCases","PctCases","NumDeaths","PctDeaths","Lethality"
"All","213522","100.0","3979","100.0","1.9"
"Male","108104","50.6","2237","56.6","2.1"
"Female","104665","49.0","1713","43.3","1.6"
"Other","753","0.4","4","0.1","0.5"
"80+","8623","4.0",NA,NA,NA
"70-79","7998","3.7",NA,NA,NA
"60-69","14040","6.6",NA,NA,NA
"50-59","26670","12.5",NA,NA,NA
"40-49","39101","18.3",NA,NA,NA
"30-39","49098","23.0",NA,NA,NA
"20-29","43355","20.3",NA,NA,NA
"10-19","14576","6.8",NA,NA,NA
"0-9","9922","4.6",NA,NA,NA
"Source","Source: Ministry of Health, including data through 4 August.[204]",NA,NA,NA,NA
